Airport_code,Airport_Name,Country,Runway_Count,Timezone
POM,Port Moresby Jacksons International Airport,PG,2.0,TBD
KEF,Keflavik International Airport,IS,2.0,TBD
PRN,PriÅ¡tina International Airport,XK,1.0,TBD
YEG,Edmonton International Airport,CA,2.0,TBD
YHZ,Halifax / Stanfield International Airport,CA,2.0,TBD
YOW,Ottawa Macdonald-Cartier International Airport,CA,3.0,TBD
YUL,Montreal / Pierre Elliott Trudeau International Airport,CA,3.0,TBD
YVR,Vancouver International Airport,CA,4.0,TBD
YWG,Winnipeg / James Armstrong Richardson International Airport,CA,3.0,TBD
YYC,Calgary International Airport,CA,4.0,TBD
YYJ,Victoria International Airport,CA,3.0,TBD
YYT,St. John's International Airport,CA,3.0,TBD
YYZ,Lester B. Pearson International Airport,CA,5.0,TBD
ALG,Houari Boumediene Airport,DZ,2.0,TBD
OUA,Ouagadougou Airport,BF,2.0,TBD
ACC,Kotoka International Airport,GH,1.0,TBD
ABV,Nnamdi Azikiwe International Airport,NG,1.0,TBD
QUO,Akwa Ibom International Airport,NG,1.0,TBD
KAN,Mallam Aminu International Airport,NG,2.0,TBD
LOS,Murtala Muhammed International Airport,NG,2.0,TBD
NIM,Diori Hamani International Airport,NE,3.0,TBD
TUN,Tunis Carthage International Airport,TN,2.0,TBD
BRU,Brussels Airport,BE,3.0,TBD
CRL,Brussels South Charleroi Airport,BE,1.0,TBD
LGG,LiÃ¨ge Airport,BE,2.0,TBD
SXF,Berlin-SchÃ¶nefeld Airport,DE,,TBD
DRS,Dresden Airport,DE,1.0,TBD
FRA,Frankfurt am Main Airport,DE,4.0,TBD
FMO,MÃ¼nster OsnabrÃ¼ck Airport,DE,1.0,TBD
HAM,Hamburg Airport,DE,2.0,TBD
CGN,Cologne Bonn Airport,DE,3.0,TBD
DUS,DÃ¼sseldorf Airport,DE,2.0,TBD
MUC,Munich Airport,DE,2.0,TBD
NUE,Nuremberg Airport,DE,1.0,TBD
LEJ,Leipzig/Halle Airport,DE,2.0,TBD
STR,Stuttgart Airport,DE,1.0,TBD
TXL,Berlin-Tegel Airport,DE,,TBD
HAJ,Hannover Airport,DE,3.0,TBD
BRE,Bremen Airport,DE,2.0,TBD
DTM,Dortmund Airport,DE,1.0,TBD
FKB,Karlsruhe Baden-Baden Airport,DE,1.0,TBD
TLL,Lennart Meri Tallinn Airport,EE,1.0,TBD
HEL,Helsinki Vantaa Airport,FI,3.0,TBD
BFS,Belfast International Airport,GB,2.0,TBD
BHD,George Best Belfast City Airport,GB,1.0,TBD
BHX,Birmingham International Airport,GB,1.0,TBD
MAN,Manchester Airport,GB,2.0,TBD
DSA,Robin Hood Doncaster Sheffield Airport,GB,,TBD
CWL,Cardiff International Airport,GB,1.0,TBD
BRS,Bristol Airport,GB,1.0,TBD
LPL,Liverpool John Lennon Airport,GB,1.0,TBD
LTN,London Luton Airport,GB,1.0,TBD
BOH,Bournemouth Airport,GB,1.0,TBD
SOU,Southampton Airport,GB,1.0,TBD
LGW,London Gatwick Airport,GB,2.0,TBD
LHR,London Heathrow Airport,GB,2.0,TBD
LBA,Leeds Bradford Airport,GB,1.0,TBD
NCL,Newcastle Airport,GB,1.0,TBD
EMA,East Midlands Airport,GB,1.0,TBD
ABZ,Aberdeen Dyce Airport,GB,4.0,TBD
GLA,Glasgow International Airport,GB,2.0,TBD
EDI,Edinburgh Airport,GB,3.0,TBD
NWI,Norwich International Airport,GB,2.0,TBD
STN,London Stansted Airport,GB,1.0,TBD
EXT,Exeter International Airport,GB,2.0,TBD
LKZ,RAF Lakenheath,GB,1.0,TBD
MHZ,RAF Mildenhall,GB,1.0,TBD
FFD,RAF Fairford,GB,1.0,TBD
BZZ,RAF Brize Norton,GB,1.0,TBD
AMS,Amsterdam Airport Schiphol,NL,6.0,TBD
EIN,Eindhoven Airport,NL,1.0,TBD
ORK,Cork Airport,IE,2.0,TBD
DUB,Dublin Airport,IE,4.0,TBD
SNN,Shannon Airport,IE,1.0,TBD
BLL,Billund Airport,DK,1.0,TBD
CPH,Copenhagen Kastrup Airport,DK,3.0,TBD
AAL,Aalborg Airport,DK,2.0,TBD
LUX,Luxembourg-Findel International Airport,LU,1.0,TBD
BOO,BodÃ¸ Airport,NO,1.0,TBD
BGO,Bergen Airport Flesland,NO,1.0,TBD
OSL,Oslo Gardermoen Airport,NO,2.0,TBD
