type,name,iso_country,iata_code
large_airport,Port Moresby Jacksons International Airport,PG,POM
large_airport,Keflavik International Airport,IS,KEF
large_airport,PriÅ¡tina International Airport,XK,PRN
large_airport,Edmonton International Airport,CA,YEG
large_airport,Halifax / Stanfield International Airport,CA,YHZ
large_airport,Ottawa Macdonald-Cartier International Airport,CA,YOW
large_airport,Montreal / Pierre Elliott Trudeau International Airport,CA,YUL
large_airport,Vancouver International Airport,CA,YVR
large_airport,Winnipeg / James Armstrong Richardson International Airport,CA,YWG
large_airport,Calgary International Airport,CA,YYC
large_airport,Victoria International Airport,CA,YYJ
large_airport,St. John's International Airport,CA,YYT
large_airport,Lester B. Pearson International Airport,CA,YYZ
large_airport,Houari Boumediene Airport,DZ,ALG
large_airport,Ouagadougou Airport,BF,OUA
large_airport,Kotoka International Airport,GH,ACC
large_airport,Nnamdi Azikiwe International Airport,NG,ABV
large_airport,Akwa Ibom International Airport,NG,QUO
large_airport,Mallam Aminu International Airport,NG,KAN
large_airport,Murtala Muhammed International Airport,NG,LOS
large_airport,Diori Hamani International Airport,NE,NIM
large_airport,Tunis Carthage International Airport,TN,TUN
large_airport,Brussels Airport,BE,BRU
large_airport,Brussels South Charleroi Airport,BE,CRL
large_airport,LiÃ¨ge Airport,BE,LGG
large_airport,Berlin-SchÃ¶nefeld Airport,DE,SXF
large_airport,Dresden Airport,DE,DRS
large_airport,Frankfurt am Main Airport,DE,FRA
large_airport,MÃ¼nster OsnabrÃ¼ck Airport,DE,FMO
large_airport,Hamburg Airport,DE,HAM
large_airport,Cologne Bonn Airport,DE,CGN
large_airport,DÃ¼sseldorf Airport,DE,DUS
large_airport,Munich Airport,DE,MUC
large_airport,Nuremberg Airport,DE,NUE
large_airport,Leipzig/Halle Airport,DE,LEJ
large_airport,Stuttgart Airport,DE,STR
large_airport,Berlin-Tegel Airport,DE,TXL
large_airport,Hannover Airport,DE,HAJ
large_airport,Bremen Airport,DE,BRE
large_airport,Dortmund Airport,DE,DTM
large_airport,Karlsruhe Baden-Baden Airport,DE,FKB
large_airport,Lennart Meri Tallinn Airport,EE,TLL
large_airport,Helsinki Vantaa Airport,FI,HEL
large_airport,Belfast International Airport,GB,BFS
large_airport,George Best Belfast City Airport,GB,BHD
large_airport,Birmingham International Airport,GB,BHX
large_airport,Manchester Airport,GB,MAN
large_airport,Robin Hood Doncaster Sheffield Airport,GB,DSA
large_airport,Cardiff International Airport,GB,CWL
large_airport,Bristol Airport,GB,BRS
large_airport,Liverpool John Lennon Airport,GB,LPL
large_airport,London Luton Airport,GB,LTN
large_airport,Bournemouth Airport,GB,BOH
large_airport,Southampton Airport,GB,SOU
large_airport,London Gatwick Airport,GB,LGW
large_airport,London Heathrow Airport,GB,LHR
large_airport,Leeds Bradford Airport,GB,LBA
large_airport,Newcastle Airport,GB,NCL
large_airport,East Midlands Airport,GB,EMA
large_airport,Aberdeen Dyce Airport,GB,ABZ
large_airport,Glasgow International Airport,GB,GLA
large_airport,Edinburgh Airport,GB,EDI
large_airport,Norwich International Airport,GB,NWI
large_airport,London Stansted Airport,GB,STN
large_airport,Exeter International Airport,GB,EXT
large_airport,RAF Lakenheath,GB,LKZ
large_airport,RAF Mildenhall,GB,MHZ
large_airport,RAF Fairford,GB,FFD
large_airport,RAF Brize Norton,GB,BZZ
large_airport,Amsterdam Airport Schiphol,NL,AMS
large_airport,Eindhoven Airport,NL,EIN
large_airport,Cork Airport,IE,ORK
large_airport,Dublin Airport,IE,DUB
large_airport,Shannon Airport,IE,SNN
large_airport,Billund Airport,DK,BLL
large_airport,Copenhagen Kastrup Airport,DK,CPH
large_airport,Aalborg Airport,DK,AAL
large_airport,Luxembourg-Findel International Airport,LU,LUX
large_airport,BodÃ¸ Airport,NO,BOO
large_airport,Bergen Airport Flesland,NO,BGO
large_airport,Oslo Gardermoen Airport,NO,OSL
large_airport,TromsÃ¸ Airport,NO,TOS
