Aircraft_ID,Airline_Name,Model_ID,Manufactured_Date
AC00001,American Airlines,Boeing 787-9 Dreamliner,2000-12-03
AC00002,American Airlines,Airbus A220-300,2009-08-01
AC00003,American Airlines,Boeing 787-9 Dreamliner,1998-05-01
AC00004,American Airlines,Airbus A350-900,2019-01-18
AC00005,American Airlines,Boeing 777-300ER,2018-02-20
AC00006,American Airlines,Airbus A320-200,2014-08-28
AC00007,American Airlines,Airbus A330-300,2014-07-01
AC00008,American Airlines,Airbus A220-300,2022-01-04
AC00009,American Airlines,Airbus A220-300,2008-11-11
AC00010,American Airlines,Boeing 737-800,2009-04-27
AC00011,American Airlines,Airbus A380-800,2003-11-05
AC00012,American Airlines,Airbus A220-300,2018-03-14
AC00013,American Airlines,Boeing 787-9 Dreamliner,2000-02-25
AC00014,American Airlines,Boeing 787-9 Dreamliner,2017-03-15
AC00015,American Airlines,Airbus A380-800,2012-11-16
AC00016,American Airlines,Airbus A320-200,2000-11-16
AC00017,American Airlines,Airbus A380-800,2002-04-25
AC00018,American Airlines,Boeing 747-400,2009-07-25
AC00019,American Airlines,Airbus A380-800,2015-07-27
AC00020,American Airlines,Boeing 777-300ER,2003-03-15
AC00021,American Airlines,Airbus A220-300,2016-04-29
AC00022,American Airlines,Boeing 737-800,2020-03-08
AC00023,American Airlines,Boeing 737-800,1995-06-03
AC00024,American Airlines,Airbus A220-300,2001-01-19
AC00025,American Airlines,Airbus A320-200,2020-12-20
AC00026,American Airlines,Airbus A330-300,2016-07-11
AC00027,American Airlines,Airbus A220-300,2011-05-04
AC00028,American Airlines,Boeing 747-400,2002-08-27
AC00029,American Airlines,Boeing 747-400,1995-04-24
AC00030,American Airlines,Airbus A330-300,2009-12-01
AC00031,American Airlines,Airbus A330-300,2009-06-23
AC00032,American Airlines,Boeing 787-9 Dreamliner,2004-12-18
AC00033,American Airlines,Boeing 737-800,2020-09-15
AC00034,American Airlines,Airbus A330-300,2002-08-12
AC00035,American Airlines,Boeing 787-9 Dreamliner,2016-11-17
AC00036,American Airlines,Airbus A220-300,2014-01-05
AC00037,American Airlines,Airbus A350-900,2021-09-23
AC00038,American Airlines,Airbus A320-200,2017-10-03
AC00039,American Airlines,Boeing 777-300ER,2014-05-01
AC00040,American Airlines,Boeing 737-800,1999-10-23
AC00041,American Airlines,Boeing 747-400,1996-03-19
AC00042,American Airlines,Boeing 737 MAX 8,2014-03-28
AC00043,American Airlines,Boeing 777-300ER,2000-03-09
AC00044,American Airlines,Airbus A380-800,2012-09-04
AC00045,American Airlines,Boeing 787-9 Dreamliner,2005-12-14
AC00046,American Airlines,Boeing 787-9 Dreamliner,2017-10-30
AC00047,American Airlines,Boeing 777-300ER,2012-04-26
AC00048,American Airlines,Airbus A330-300,2011-10-30
AC00049,American Airlines,Boeing 747-400,2002-12-01
AC00050,American Airlines,Airbus A330-300,2011-03-20
AC00051,American Airlines,Airbus A330-300,2012-03-23
AC00052,American Airlines,Boeing 737-800,2006-01-27
AC00053,American Airlines,Airbus A380-800,2008-10-15
AC00054,American Airlines,Boeing 777-300ER,2021-04-25
AC00055,American Airlines,Airbus A330-300,2017-08-25
AC00056,American Airlines,Boeing 737-800,2004-06-23
AC00057,American Airlines,Airbus A330-300,2005-09-18
AC00058,American Airlines,Boeing 747-400,2005-03-06
AC00059,American Airlines,Boeing 747-400,2021-07-18
AC00060,American Airlines,Boeing 777-300ER,2000-04-27
AC00061,American Airlines,Boeing 747-400,2021-03-04
AC00062,American Airlines,Airbus A350-900,2005-05-13
AC00063,American Airlines,Airbus A380-800,2003-10-12
AC00064,American Airlines,Boeing 747-400,2020-06-07
AC00065,American Airlines,Airbus A320-200,2006-05-31
AC00066,American Airlines,Boeing 737 MAX 8,2016-09-27
AC00067,American Airlines,Boeing 787-9 Dreamliner,2021-01-31
AC00068,American Airlines,Boeing 737 MAX 8,2000-09-10
AC00069,American Airlines,Airbus A380-800,2019-01-09
AC00070,American Airlines,Boeing 737-800,2020-12-15
AC00071,American Airlines,Airbus A320-200,2013-02-16
AC00072,American Airlines,Boeing 737 MAX 8,1998-09-16
AC00073,American Airlines,Airbus A350-900,1999-02-28
AC00074,American Airlines,Boeing 747-400,2017-03-30
AC00075,American Airlines,Boeing 747-400,2000-02-02
AC00076,American Airlines,Airbus A330-300,2004-03-25
AC00077,American Airlines,Airbus A350-900,2010-03-07
AC00078,American Airlines,Airbus A380-800,2000-05-28
AC00079,American Airlines,Airbus A320-200,1999-05-31
AC00080,American Airlines,Airbus A380-800,2012-06-25
AC00081,American Airlines,Boeing 737-800,2000-01-27
AC00082,American Airlines,Airbus A220-300,2016-03-13
AC00083,American Airlines,Boeing 737 MAX 8,1998-04-08
AC00084,American Airlines,Airbus A330-300,1998-09-20
AC00085,American Airlines,Airbus A320-200,2017-01-02
AC00086,American Airlines,Boeing 747-400,1996-08-30
AC00087,American Airlines,Airbus A320-200,2022-03-06
AC00088,American Airlines,Boeing 747-400,2007-09-10
AC00089,American Airlines,Boeing 777-300ER,2003-09-01
AC00090,American Airlines,Airbus A350-900,2021-11-20
AC00091,American Airlines,Boeing 747-400,2017-01-10
AC00092,American Airlines,Airbus A320-200,2005-10-11
AC00093,American Airlines,Airbus A320-200,2010-11-25
AC00094,American Airlines,Boeing 777-300ER,2012-09-05
AC00095,American Airlines,Boeing 777-300ER,1998-12-20
AC00096,American Airlines,Boeing 737-800,2008-10-21
AC00097,American Airlines,Airbus A350-900,2004-07-30
AC00098,American Airlines,Boeing 787-9 Dreamliner,2000-01-06
AC00099,American Airlines,Airbus A380-800,2006-01-20
AC00100,American Airlines,Airbus A330-300,2017-03-29
AC00101,American Airlines,Boeing 737 MAX 8,2003-05-09
AC00102,American Airlines,Airbus A330-300,2019-04-09
AC00103,American Airlines,Boeing 787-9 Dreamliner,2010-07-29
AC00104,American Airlines,Boeing 777-300ER,2009-02-24
AC00105,American Airlines,Airbus A320-200,2013-12-18
AC00106,American Airlines,Airbus A350-900,2021-06-17
AC00107,American Airlines,Boeing 737 MAX 8,2021-04-25
AC00108,American Airlines,Airbus A220-300,2020-01-29
AC00109,American Airlines,Airbus A350-900,2007-08-28
AC00110,American Airlines,Airbus A350-900,2004-07-15
AC00111,American Airlines,Boeing 737 MAX 8,2012-08-14
AC00112,American Airlines,Airbus A350-900,2017-12-03
AC00113,American Airlines,Boeing 787-9 Dreamliner,2015-07-12
AC00114,American Airlines,Boeing 747-400,2007-07-15
AC00115,American Airlines,Boeing 777-300ER,2000-06-19
AC00116,American Airlines,Airbus A380-800,2007-05-25
AC00117,American Airlines,Boeing 737 MAX 8,2015-02-28
AC00118,American Airlines,Airbus A220-300,1999-10-18
AC00119,American Airlines,Airbus A330-300,2004-12-29
AC00120,American Airlines,Boeing 737-800,2016-05-25
AC00121,American Airlines,Airbus A330-300,2010-04-02
AC00122,American Airlines,Airbus A220-300,1997-01-13
AC00123,American Airlines,Boeing 737 MAX 8,2022-06-22
AC00124,American Airlines,Airbus A330-300,1996-01-29
AC00125,American Airlines,Airbus A330-300,2015-05-19
AC00126,American Airlines,Airbus A380-800,2002-01-25
AC00127,American Airlines,Airbus A330-300,2012-09-08
AC00128,American Airlines,Airbus A330-300,2005-04-13
AC00129,American Airlines,Boeing 737-800,2020-09-14
AC00130,American Airlines,Airbus A220-300,2009-09-10
AC00131,American Airlines,Boeing 787-9 Dreamliner,1999-09-02
AC00132,American Airlines,Boeing 787-9 Dreamliner,1996-03-01
AC00133,American Airlines,Boeing 777-300ER,2013-06-16
AC00134,American Airlines,Boeing 787-9 Dreamliner,2005-03-15
AC00135,American Airlines,Boeing 787-9 Dreamliner,2011-12-17
AC00136,American Airlines,Airbus A350-900,2006-09-10
AC00137,American Airlines,Airbus A330-300,2006-12-31
AC00138,American Airlines,Airbus A220-300,1997-06-04
AC00139,American Airlines,Airbus A320-200,1995-01-30
AC00140,American Airlines,Boeing 747-400,2022-08-18
AC00141,American Airlines,Boeing 737 MAX 8,2000-03-10
AC00142,American Airlines,Airbus A350-900,2007-03-10
AC00143,American Airlines,Airbus A350-900,2016-05-31
AC00144,American Airlines,Boeing 737 MAX 8,2016-06-29
AC00145,American Airlines,Airbus A350-900,2011-05-14
AC00146,American Airlines,Airbus A380-800,2019-05-22
AC00147,American Airlines,Airbus A320-200,2013-02-18
AC00148,American Airlines,Boeing 737 MAX 8,2003-05-31
AC00149,American Airlines,Airbus A220-300,2010-05-15
AC00150,American Airlines,Boeing 737-800,2000-02-24
AC00151,American Airlines,Boeing 737 MAX 8,2004-08-04
