iata_code,runway_count
POM,2.0
KEF,2.0
PRN,1.0
YEG,2.0
YHZ,2.0
YOW,3.0
YUL,3.0
YVR,4.0
YWG,3.0
YYC,4.0
YYJ,3.0
YYT,3.0
YYZ,5.0
ALG,2.0
OUA,2.0
ACC,1.0
ABV,1.0
QUO,1.0
KAN,2.0
LOS,2.0
NIM,3.0
TUN,2.0
BRU,3.0
CRL,1.0
LGG,2.0
SXF,
DRS,1.0
FRA,4.0
FMO,1.0
HAM,2.0
CGN,3.0
DUS,2.0
MUC,2.0
NUE,1.0
LEJ,2.0
STR,1.0
TXL,
HAJ,3.0
BRE,2.0
DTM,1.0
FKB,1.0
TLL,1.0
HEL,3.0
BFS,2.0
BHD,1.0
BHX,1.0
MAN,2.0
DSA,
CWL,1.0
BRS,1.0
LPL,1.0
LTN,1.0
BOH,1.0
SOU,1.0
LGW,2.0
LHR,2.0
LBA,1.0
NCL,1.0
EMA,1.0
ABZ,4.0
GLA,2.0
EDI,3.0
NWI,2.0
STN,1.0
EXT,2.0
LKZ,1.0
MHZ,1.0
FFD,1.0
BZZ,1.0
AMS,6.0
EIN,1.0
ORK,2.0
DUB,4.0
SNN,1.0
BLL,1.0
CPH,3.0
AAL,2.0
LUX,1.0
BOO,1.0
BGO,1.0
OSL,2.0
TOS,1.0
TRD,3.0
SVG,2.0
GDN,1.0
KRK,1.0
KTW,1.0
WMI,1.0
POZ,2.0
WAW,2.0
WRO,1.0
GOT,1.0
MMX,2.0
LLA,1.0
ARN,3.0
RMS,2.0
RIX,1.0
VNO,1.0
CPT,2.0
GRJ,1.0
DUR,1.0
JNB,2.0
GBE,1.0
SHO,1.0
MRU,1.0
LUN,2.0
TNR,1.0
LAD,2.0
MPM,2.0
SEZ,1.0
NDJ,1.0
HRE,1.0
WDH,2.0
FIH,1.0
BKO,1.0
SPC,1.0
LPA,2.0
TFS,1.0
TFN,1.0
FNA,1.0
ROB,1.0
CMN,2.0
DSS,1.0
DKR,2.0
NKC,2.0
SID,2.0
ADD,2.0
HGA,1.0
CAI,3.0
HRG,2.0
LXR,1.0
NBO,1.0
MBA,2.0
TIP,
KGL,1.0
JUB,1.0
KRT,1.0
DAR,2.0
ZNZ,1.0
EBB,2.0
AAP,1.0
ABQ,4.0
ADW,2.0
AFW,2.0
AGS,2.0
AMA,2.0
ATL,5.0
AUS,2.0
AVL,1.0
BAB,1.0
BAD,1.0
BDL,3.0
BFI,2.0
BGR,1.0
BHM,2.0
BIL,3.0
BLV,2.0
BMI,3.0
BNA,4.0
BOI,3.0
BOS,6.0
BUF,2.0
BWI,4.0
CAE,2.0
CBM,3.0
CHA,2.0
CHS,2.0
CID,2.0
CLE,4.0
CLT,4.0
CMH,2.0
COS,3.0
CRP,2.0
CRW,2.0
CVG,4.0
CVS,2.0
DAB,3.0
DAL,3.0
DAY,3.0
DBQ,2.0
DCA,3.0
DEN,6.0
DFW,7.0
DLF,3.0
DLH,2.0
DOV,2.0
DSM,2.0
DTW,6.0
DYS,3.0
EDW,3.0
END,4.0
ERI,2.0
EWR,3.0
FFO,2.0
FLL,3.0
