Flight_ID,Flight_Status,Aircraft_ID,Destination_Airport,Departure_Airport,Departure_Time,Arrival_Time
TQ237,En Route,N7160,SYD,LJU,2024-04-07 08:52:23,2024-04-07 20:52:23
IV378,Landed,N4354,MEX,SYD,2024-04-07 16:26:49,2024-04-08 03:26:49
GP107,En Route,N4733,SYD,UBN,2024-04-09 02:00:11,2024-04-09 13:00:11
MF130,En Route,N7617,SYD,MDW,2024-04-06 15:24:58,2024-04-06 22:24:58
PN534,En Route,N3357,SYD,ATL,2024-04-07 20:40:14,2024-04-08 02:40:14
FA255,En Route,N5494,SYD,HER,2024-04-10 15:29:05,2024-04-10 17:29:05
EX613,Landed,N2855,DMK,SYD,2024-04-05 08:16:01,2024-04-05 17:16:01
UZ374,Delayed,N4518,SYD,SHE,2024-04-05 14:58:08,2024-04-05 17:58:08
YO663,Boarding,N0794,KGF,SYD,2024-04-10 07:54:07,2024-04-10 08:54:07
XL149,Landed,N5348,LUN,SYD,2024-04-09 23:17:16,2024-04-10 00:17:16
KS575,Cancelled,N0918,PVR,SYD,2024-04-11 01:34:05,2024-04-11 08:34:05
DI333,En Route,N2395,SYD,ESB,2024-04-07 18:34:17,2024-04-08 04:34:17
NN621,En Route,N3053,SYD,BHM,2024-04-05 01:31:25,2024-04-05 13:31:25
MJ558,Boarding,N7736,ICT,SYD,2024-04-09 05:43:20,2024-04-09 14:43:20
AP144,Landed,N5833,ITM,SYD,2024-04-07 20:25:11,2024-04-08 08:25:11
YP936,Landed,N0725,MMX,SYD,2024-04-08 21:47:34,2024-04-09 09:47:34
AK880,Boarding,N4176,LKZ,SYD,2024-04-06 13:19:18,2024-04-06 19:19:18
VL598,Boarding,N8773,ADW,SYD,2024-04-06 09:58:07,2024-04-06 10:58:07
ED044,En Route,N6606,SYD,SZX,2024-04-06 23:43:23,2024-04-07 11:43:23
AI523,Cancelled,N2930,SYD,CWB,2024-04-09 03:48:20,2024-04-09 04:48:20
FG389,Cancelled,N4645,SYD,OKO,2024-04-07 04:20:57,2024-04-07 05:20:57
ZP234,En Route,N0741,SYD,BLR,2024-04-06 02:43:07,2024-04-06 04:43:07
ET246,Landed,N3490,END,SYD,2024-04-05 03:55:24,2024-04-05 04:55:24
AJ141,En Route,N6289,SYD,MUC,2024-04-06 11:05:23,2024-04-06 13:05:23
EA845,En Route,N4206,SYD,EDW,2024-04-09 08:29:21,2024-04-09 20:29:21
HF136,En Route,N1984,SYD,SOU,2024-04-10 09:48:59,2024-04-10 20:48:59
FD281,Boarding,N4405,YHZ,SYD,2024-04-08 08:34:22,2024-04-08 10:34:22
UI839,Boarding,N9861,BOG,SYD,2024-04-06 10:24:11,2024-04-06 17:24:11
CI058,Cancelled,N0535,SYD,CTA,2024-04-11 11:06:23,2024-04-11 20:06:23
DN712,Boarding,N0557,SZX,SYD,2024-04-07 11:22:05,2024-04-07 12:22:05
GE620,Boarding,N3754,CRK,SYD,2024-04-10 14:42:51,2024-04-10 18:42:51
IG202,Delayed,N2370,SUB,SYD,2024-04-11 11:43:18,2024-04-11 16:43:18
OI051,Landed,N1316,PEK,SYD,2024-04-10 01:26:34,2024-04-10 09:26:34
MV674,Boarding,N4215,XMN,SYD,2024-04-05 08:50:25,2024-04-05 11:50:25
NV967,Boarding,N5218,PVG,SYD,2024-04-05 21:48:02,2024-04-06 08:48:02
VY361,Landed,N5921,NAY,SYD,2024-04-07 16:52:36,2024-04-07 21:52:36
TX584,En Route,N5074,SYD,PTY,2024-04-09 09:25:42,2024-04-09 19:25:42
VP532,En Route,N0223,SYD,BMI,2024-04-08 07:51:09,2024-04-08 16:51:09
QR517,En Route,N0078,SYD,MIA,2024-04-08 09:52:31,2024-04-08 14:52:31
LT171,En Route,N3011,SYD,LIM,2024-04-11 03:12:01,2024-04-11 11:12:01
TH025,Boarding,N9968,SYX,SYD,2024-04-09 17:49:11,2024-04-10 03:49:11
BX413,En Route,N8858,SYD,DXB,2024-04-09 06:49:39,2024-04-09 16:49:39
